"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"19","Arlesheim","Arlesheim","Arlesheim","BL",53.683122254,"Arlesheim","Arlesheim","Arlesheim","BL","BL","BL",53.683122254,53.683122254,53.683122254
"20","Aarau","Aarau","Aarau","AG",53.673446704,"Aarau","Aarau","Aarau","AG","AG","AG",53.673446704,53.673446704,53.673446704
"21","Dornach","Dornach","Dornach","SO",53.639010189,"Dornach","Dornach","Dornach","SO","SO","SO",53.639010189,53.639010189,53.639010189
"22","Miglieglia","Miglieglia","Miglieglia","TI",53.608247423,"Miglieglia","Miglieglia","Miglieglia","TI","TI","TI",53.608247423,53.608247423,53.608247423
"23","Trin","Trin","Trin","GR",52.878179384,"Trin","Trin","Trin","GR","GR","GR",52.878179384,52.878179384,52.878179384
"24","Fribourg","Freiburg","Friburgo","FR",52.81238875,"Fribourg","Freiburg","Friburgo","FR","FR","FR",52.81238875,52.81238875,52.81238875
"25","Rüttenen","Rüttenen","Rüttenen","SO",52.683615819,"Rüttenen","Rüttenen","Rüttenen","SO","SO","SO",52.683615819,52.683615819,52.683615819
"26","Gottlieben","Gottlieben","Gottlieben","TG",52.427184466,"Gottlieben","Gottlieben","Gottlieben","TG","TG","TG",52.427184466,52.427184466,52.427184466
"27","Vevey","Vevey","Vevey","VD",52.357894737,"Vevey","Vevey","Vevey","VD","VD","VD",52.357894737,52.357894737,52.357894737
"28","Bister","Bister","Bister","VS",52.173913043,"Bister","Bister","Bister","VS","VS","VS",52.173913043,52.173913043,52.173913043
"29","Galmiz","Galmiz","Galmiz","FR",52.083333333,"Galmiz","Galmiz","Galmiz","FR","FR","FR",52.083333333,52.083333333,52.083333333
"30","Turgi","Turgi","Turgi","AG",51.728395062,"Turgi","Turgi","Turgi","AG","AG","AG",51.728395062,51.728395062,51.728395062
"31","Cerlier","Erlach","Erlach","BE",51.485148515,"Cerlier","Erlach","Erlach","BE","BE","BE",51.485148515,51.485148515,51.485148515
"32","Rifferswil","Rifferswil","Rifferswil","ZH",51.40625,"Rifferswil","Rifferswil","Rifferswil","ZH","ZH","ZH",51.40625,51.40625,51.40625
"33","Schaffhouse","Schaffhausen","Sciaffusa","SH",51.275074353,"Schaffhouse","Schaffhausen","Sciaffusa","SH","SH","SH",51.275074353,51.275074353,51.275074353
"34","Rehetobel","Rehetobel","Rehetobel","AR",50.869565217,"Rehetobel","Rehetobel","Rehetobel","AR","AR","AR",50.869565217,50.869565217,50.869565217
"35","Burg im Leimental","Burg im Leimental","Burg im Leimental","BL",50.704225352,"Burg im Leimental","Burg im Leimental","Burg im Leimental","BL","BL","BL",50.704225352,50.704225352,50.704225352
"36","Dittingen","Dittingen","Dittingen","BL",50.613496933,"Dittingen","Dittingen","Dittingen","BL","BL","BL",50.613496933,50.613496933,50.613496933
"37","Rheinau","Rheinau","Rheinau","ZH",50.405186386,"Rheinau","Rheinau","Rheinau","ZH","ZH","ZH",50.405186386,50.405186386,50.405186386
"38","Rorschach","Rorschach","Rorschach","SG",50.206398349,"Rorschach","Rorschach","Rorschach","SG","SG","SG",50.206398349,50.206398349,50.206398349
"39","Greng","Greng","Greng","FR",50,"Greng","Greng","Greng","FR","FR","FR",50,50,50
"40","Bedigliora","Bedigliora","Bedigliora","TI",49.808429119,"Bedigliora","Bedigliora","Bedigliora","TI","TI","TI",49.808429119,49.808429119,49.808429119
"41","Windisch","Windisch","Windisch","AG",49.713412304,"Windisch","Windisch","Windisch","AG","AG","AG",49.713412304,49.713412304,49.713412304
"42","Uster","Uster","Uster","ZH",49.667515563,"Uster","Uster","Uster","ZH","ZH","ZH",49.667515563,49.667515563,49.667515563
"43","Lenzburg","Lenzburg","Lenzburg","AG",49.666221629,"Lenzburg","Lenzburg","Lenzburg","AG","AG","AG",49.666221629,49.666221629,49.666221629
"44","Scharans","Scharans","Scharans","GR",49.534883721,"Scharans","Scharans","Scharans","GR","GR","GR",49.534883721,49.534883721,49.534883721
"45","Seegräben","Seegräben","Seegräben","ZH",49.413489736,"Seegräben","Seegräben","Seegräben","ZH","ZH","ZH",49.413489736,49.413489736,49.413489736
"46","Vernate","Vernate","Vernate","TI",49.295774648,"Vernate","Vernate","Vernate","TI","TI","TI",49.295774648,49.295774648,49.295774648
"47","Le Grand-Saconnex","Le Grand-Saconnex","Le Grand-Saconnex","GE",49.192956713,"Le Grand-Saconnex","Le Grand-Saconnex","Le Grand-Saconnex","GE","GE","GE",49.192956713,49.192956713,49.192956713
"48","Gsteigwiler","Gsteigwiler","Gsteigwiler","BE",49.122807018,"Gsteigwiler","Gsteigwiler","Gsteigwiler","BE","BE","BE",49.122807018,49.122807018,49.122807018
"49","Onex","Onex","Onex","GE",49.005347594,"Onex","Onex","Onex","GE","GE","GE",49.005347594,49.005347594,49.005347594
"50","Münchenstein","Münchenstein","Münchenstein","BL",48.774038462,"Münchenstein","Münchenstein","Münchenstein","BL","BL","BL",48.774038462,48.774038462,48.774038462
